1:< proc ,101 >
移入	当前待输入: = 2 ; a [ 3 ] = 3 ; sum = 0 ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

L -> id [ E ]
规约	当前待输入: = 2 ; a [ 3 ] = 3 ; sum = 0 ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

移入	当前待输入: 2 ; a [ 3 ] = 3 ; sum = 0 ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

移入	当前待输入: ; a [ 3 ] = 3 ; sum = 0 ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

E2 -> num
规约	当前待输入: ; a [ 3 ] = 3 ; sum = 0 ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

E1 -> E2
规约	当前待输入: ; a [ 3 ] = 3 ; sum = 0 ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

E -> E1
规约	当前待输入: ; a [ 3 ] = 3 ; sum = 0 ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

移入	当前待输入: a [ 3 ] = 3 ; sum = 0 ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

S -> L = E ;
规约	当前待输入: a [ 3 ] = 3 ; sum = 0 ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

移入	当前待输入: [ 3 ] = 3 ; sum = 0 ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

移入	当前待输入: 3 ] = 3 ; sum = 0 ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

移入	当前待输入: ] = 3 ; sum = 0 ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

E2 -> num
规约	当前待输入: ] = 3 ; sum = 0 ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

E1 -> E2
规约	当前待输入: ] = 3 ; sum = 0 ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

E -> E1
规约	当前待输入: ] = 3 ; sum = 0 ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

移入	当前待输入: = 3 ; sum = 0 ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

L -> id [ E ]
规约	当前待输入: = 3 ; sum = 0 ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

移入	当前待输入: 3 ; sum = 0 ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

移入	当前待输入: ; sum = 0 ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

E2 -> num
规约	当前待输入: ; sum = 0 ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

E1 -> E2
规约	当前待输入: ; sum = 0 ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

E -> E1
规约	当前待输入: ; sum = 0 ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

移入	当前待输入: sum = 0 ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

S -> L = E ;
规约	当前待输入: sum = 0 ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

移入	当前待输入: = 0 ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

移入	当前待输入: 0 ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

移入	当前待输入: ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

E2 -> num
规约	当前待输入: ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

E1 -> E2
规约	当前待输入: ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

E -> E1
规约	当前待输入: ; max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

移入	当前待输入: max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

S -> id = E ;
规约	当前待输入: max = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

移入	当前待输入: = a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

移入	当前待输入: a [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

移入	当前待输入: [ 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

移入	当前待输入: 1 ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

移入	当前待输入: ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

E2 -> num
规约	当前待输入: ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

E1 -> E2
规约	当前待输入: ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

E -> E1
规约	当前待输入: ] ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

移入	当前待输入: ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

L -> id [ E ]
规约	当前待输入: ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

E2 -> L
规约	当前待输入: ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

E1 -> E2
规约	当前待输入: ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

E -> E1
规约	当前待输入: ; min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

移入	当前待输入: min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

S -> id = E ;
规约	当前待输入: min = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

移入	当前待输入: = a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

移入	当前待输入: a [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

移入	当前待输入: [ 1 ] ; i = 1 ; while true do begin a = a + 1 ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end else begin a = 1 ; end while true do begin if i <= 3 then begin sum = sum + a [ i ] ; end if a [ i ] > max then begin max = a [ i ] ; end if a [ i ] < min then begin min = a [ i ] ; end else begin call fuction ( b , c , d ) end i = i + 1 ; avg = sum * 1 ; end a [ 1 ] ] >= 1 ; ; if i <= < 3 then begin a = a + 1 ; end # 

